sample,Total-reads,Mapped-reads,Unmapped-reads,Uniquely-mapped-reads,Multiple-mapped-reads,Unmapped-reads/Mapped-reads ratio, Uniquely-mapped-reads/Multiple-mapped-reads ratio,Q30-pct,Sense/anti-sense ratio,Orientation,Exonic/Intronic ratio,Library-size (Mil),Uniquely-Mapped-NonDupeReads,dataset
AE3,84956959,84945143,11816,76037188,8907955,0.00,8.54,96.11,-109.59,RF,32.57,70.6,33321038.04,ASC30
AE6,103079476,103062179,17297,91016752,12045427,0.00,7.56,96.38,-74.05,RF,24.36,83.8,42136596.45,ASC30
AE9,86967513,86952719,14794,76635291,10317428,0.00,7.43,95.84,-52.56,RF,19.23,69.1,42255231.375,ASC30
AE7,91681711,91664208,17503,80088914,11575294,0.00,6.92,95.96,-55.43,RF,20.63,71.6,40405349.84,ASC30
AE5,93665645,93650418,15227,83204243,10446175,0.00,7.97,96.26,-82.09,RF,29.55,76.9,41987156.37,ASC30
AE13,113586224,113570081,16143,84192124,29377957,0.00,2.87,96.01,-79.47,RF,37.13,78.4,32310517.875,ASC30
AE1,117725017,117707763,17254,98813655,18894108,0.00,5.23,96.36,-107.45,RF,62.98,92.8,38697961.32,ASC30
AE8,93072560,93056385,16175,79442421,13613964,0.00,5.84,96.09,-60.28,RF,26.02,71.8,37484299.125,ASC30
AE12,103921986,103902234,19752,90643167,13259067,0.00,6.84,94.91,-69.71,RF,17.84,81.2,47034054,ASC30
BA12,59496396,59488518,7878,44720679,14767839,0.00,3.03,95.01,-93.06,RF,44.70,41.5,NA,p1
BA11,147368757,147333909,34848,101157481,46176428,0.00,2.19,95.01,-55.42,RF,21.45,90.8,NA,p1
AY9,121742794,121734169,8625,96742019,24992150,0.00,3.87,94.36,-77.38,RF,69.61,90.9,NA,p1
AY8,94536347,94520569,15778,70219257,24301312,0.00,2.89,95.07,-39.64,RF,28.24,65.3,NA,p1
AY7,140165526,140152845,12681,119351106,20801739,0.00,5.74,94.82,-68.15,RF,40.55,114.9,NA,p1
